,cluster,n,keywords,idea
0,1,0,[],"-a gondola system like at a ski resort

-it will be high speed and high capacity, holding up to 10 people per cart

-there will be ""Stations"" going from each major neighborhood center going towards major popular destinations like malls, restaurants, etc."
1,1,0,[],A activator people carry around and activate when they need a pickup. A wait time is calculated and shown to them. Something you carry on a key chain and just push a button.
2,1,0,[],A automated truck that delivers groceries and people when bad weather happens and trees are down on the road. Its a big truck that can get through everything
3,1,0,[],A bicycle helmet with speakers and Bluetooth connectivity for your phone.
4,1,0,[],"A bicycle rental system that allows town-owned bicycles to be ""checked out"" at various locations throughout the city, and returned to any of several locations. This will encourage people to ride bikes, even if they do not own them themselves."
5,1,0,[],A bicycle rickshaw service.
6,1,0,[],A bicycle service for when you are not in a hurry.
7,1,0,[],A bicycle taxi service
8,1,0,[],A bicycle that can lock itself when the owner forgets to lock it.
9,1,0,[],"A bicycle that is completely powered using solar batteries. Therefore, it needs neither peddling nor gasoline for it to keep going."
10,1,0,[],A bicycle with spheres instead of wheels
11,1,0,[],A bicycle-only highway.
12,1,0,[],"A big massive trailer with comfortable seats, and a breakfast bar that you can sign up for so it comes to your house, or a predetermined bus stop at a certain time.  Everything is reserved so you must opt in.  On the bus there is simple things, such as bagels/croissants/danish etc.  It's a good way to grab a quick bite to eat before work, and wake yourself up with some coffee.  The bus will use an algorithm to determine people to put on the bus that are on the way to the same destination, or a similar destination, while not going too far out of the way to pick them up."
13,1,0,[],A bike path that has a divider between the road and the bike path. A dedicated bike path that has a sense of security could encourage more people to bike around town since they wouldn't need to share the road with cars.
14,1,0,[],A bike path that is in place of all the roads. No cars will be allowed. There will be no worrying about being hit by a car when riding your bike.
15,1,0,[],"A bike rental service that lest customers rent bikes for reasonable rates daily or weekly, with pick up and return spots very conveniently located around the city"
16,1,0,[],A bike with jet packs
17,1,0,[],"A board that can actually hover above the ground, perhaps I'm thinking of a jet pack. But it would be something that would allow the rider to maneuver around slightly above the ground."
18,1,0,[],"A both walking and bike lane that provides safety from traffic, is well lit, and connects key locations around the neighborhood."
19,1,0,[],A bunch of self driving cars that will replace buses and taxis. The will have free wifi and be very cheap.
20,1,0,[],"A bus system similar to a paternoster, but horizontal instead of vertical. This would be a system of interconnected cars with seats that would follow along a set track in a loop, and always be running, so people would just walk on and walk off the system when they reached their stop - no stopping and starting."
21,1,0,[],a bus system that lets you rack up points for rewards
