,0,1
0,0,4444509
1,0,4444520
2,0,4444512
3,0,4444460
4,0,4444496
5,2,4444495
6,2,4444474
7,2,4444527
8,2,4444537
9,18,4444442
10,18,4444453
11,18,4444499
12,19,4444475
13,19,4444463
14,26,4444524
15,26,4444511
16,26,4444525
17,29,4444518
18,34,4444482
19,36,4444470
20,36,4444486
21,36,4444477
22,36,4444443
23,36,4444462
24,36,4444473
25,36,4444447
26,36,4444471
27,36,4444478
28,36,4444454
29,36,4444441
30,36,4444515
31,36,4444540
32,41,4444461
33,41,4444519
34,41,4444535
35,43,4444465
36,49,4444530
37,49,4444458
38,50,4444507
39,50,4444446
40,53,4444488
41,59,4444504
42,61,4444532
43,62,4444444
44,63,4444472
45,67,4444491
46,68,4444492
47,68,4444513
48,68,4444484
49,68,4444457
