,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative,costs
0,1,num_word_similarity,8,7,nearest_neighbors,word-based,n50_de_rma,"[4, 4, 0, 0, 5, 4, 4, 3, 0, 3, 4, 0, 6, 0, 0, 3, 3, 4, 0, 4, 4, 4, 4, 0, 4, 0, 0, 5, 3, 4, 4, 5, 4, 0, 4, 7, 0, 5, 5, 4, 5, 4, 2, 4, 0, 4, 0, 4, 4, 0]",726.0,70.0,5.0,66.0,660.0,"(82.352175824579646, 23.592000950750698)"
1,2,num_word_similarity,8,8,nearest_neighbors,sentence-based,n50_de_rma,"[4 4 4 3 3 2 4 3 6 3 2 3 1 4 4 1 6 3 3 3 7 7 7 1 5 0 2 5 2 5 5 5 6 6 5 2 2
 0 4 0 2 2 3 5 2 4 2 0 3 1]",378.0,64.0,5.5,72.0,306.0,"(325.19761904761884, 83.640000000000029)"
2,3,num_word_similarity,8,8,precomputed,word-based,n50_de_rma,"[0, 3, 0, 1, 0, 6, 0, 0, 0, 0, 0, 6, 0, 7, 3, 1, 2, 0, 0, 0, 0, 0, 6, 7, 4, 1, 2, 0, 5, 4, 2, 0, 0, 1, 1, 1, 3, 0, 0, 4, 0, 0, 0, 0, 7, 4, 0, 2, 0, 7]",720.0,72.0,4.0,64.0,656.0,"(83.278919332978049, 23.943471683134725)"
3,4,num_word_similarity,8,8,precomputed,sentence-based,n50_de_rma,"[1 3 0 7 0 6 7 0 1 0 5 0 4 1 1 5 7 0 0 0 4 4 4 7 7 0 5 7 5 3 3 3 1 2 2 7 2
 1 1 5 5 1 0 1 5 1 5 1 0 7]",412.0,68.0,6.0,68.0,344.0,"(349.03787878787841, 85.679999999999907)"
4,5,num_word_similarity,8,5,rbf,word-based,n50_de_rma,"[1, 1, 2, 2, 5, 1, 1, 3, 1, 1, 2, 2, 1, 2, 2, 1, 3, 1, 0, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1]",1198.0,112.0,2.0,24.0,1174.0,"(77.089450852303699, 22.534760640178124)"
5,6,num_word_similarity,8,8,rbf,sentence-based,n50_de_rma,"[0 0 0 0 6 0 0 3 0 5 0 4 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 7 0 0 0 0 0 1 0]",1674.0,118.0,1.0,18.0,1656.0,"(167.90476190476221, 2.0000000000000013)"
6,7,num_word_similarity,8,3,sigmoid,word-based,n50_de_rma,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]",1486.0,116.0,6.0,20.0,1466.0,"(58.448700803236953, 22.109273961974427)"
7,8,num_word_similarity,8,8,sigmoid,sentence-based,n50_de_rma,"[0 0 1 2 1 2 0 0 0 4 0 3 0 0 0 0 0 2 2 1 0 0 0 7 6 2 1 5 0 2 2 2 0 2 0 2 0
 1 0 1 0 2 1 2 0 0 0 0 2 0]",840.0,72.0,1.0,64.0,776.0,"(256.37274725274665, 69.880000000000052)"
8,9,num_word_similarity,8,6,polynomial,word-based,n50_de_rma,"[0, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 1, 0, 4, 0, 7, 0, 0, 0, 0]",1634.0,100.0,2.0,36.0,1598.0,"(77.904756899988769, 23.966882261920077)"
9,10,num_word_similarity,8,8,polynomial,sentence-based,n50_de_rma,"[0 0 0 0 0 6 0 0 0 0 7 0 4 0 0 0 0 0 0 0 0 0 0 6 6 4 0 6 7 1 2 2 0 5 3 0 5
 4 0 4 0 0 0 2 0 0 0 4 0 0]",1088.0,66.0,2.5,70.0,1018.0,"(467.61666666666673, 83.839999999999947)"
10,11,num_word_similarity,8,7,poly,word-based,n50_de_rma,"[3, 6, 6, 6, 7, 6, 1, 0, 1, 0, 6, 6, 6, 6, 6, 0, 0, 6, 0, 0, 6, 2, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 2, 2, 5, 2, 6, 3, 6, 6, 0, 6]",996.0,94.0,2.0,42.0,954.0,"(78.111616446205005, 23.911183416001055)"
11,12,num_word_similarity,8,8,poly,sentence-based,n50_de_rma,"[0 0 0 0 0 6 0 0 0 0 7 0 4 0 0 0 0 0 0 0 0 0 0 6 6 4 0 6 7 1 3 3 0 5 2 0 7
 4 0 4 0 0 0 6 0 0 0 4 0 0]",1098.0,64.0,2.5,72.0,1026.0,"(465.84999999999991, 83.399999999999949)"
12,13,num_word_similarity,8,8,linear,word-based,n50_de_rma,"[0, 1, 0, 2, 0, 6, 0, 0, 0, 2, 0, 6, 3, 7, 1, 4, 3, 2, 0, 2, 0, 0, 0, 7, 4, 0, 3, 0, 5, 4, 3, 2, 7, 2, 2, 2, 2, 0, 0, 4, 0, 0, 0, 6, 7, 4, 0, 3, 2, 1]",546.0,68.0,4.5,68.0,478.0,"(83.627861096858311, 23.948473298619732)"
13,14,num_word_similarity,8,8,linear,sentence-based,n50_de_rma,"[0 6 5 3 5 3 2 5 6 5 2 5 4 0 0 2 5 5 5 5 4 4 4 3 3 2 2 3 1 7 6 6 5 1 1 3 1
 0 0 2 2 6 5 6 2 0 0 0 5 3]",398.0,64.0,6.5,72.0,326.0,"(417.78571428571416, 86.959999999999923)"
14,15,num_word_similarity,8,8,cosine,word-based,n50_de_rma,"[3, 0, 6, 1, 6, 5, 6, 6, 2, 1, 6, 2, 6, 2, 0, 3, 4, 5, 0, 3, 5, 5, 5, 6, 3, 6, 3, 6, 7, 3, 2, 6, 3, 7, 6, 6, 6, 6, 6, 3, 6, 1, 5, 6, 0, 3, 6, 6, 3, 0]",556.0,66.0,4.5,70.0,486.0,"(82.617249604958729, 23.192237639658508)"
15,16,num_word_similarity,8,8,cosine,sentence-based,n50_de_rma,"[6 0 1 7 1 3 5 1 0 0 5 0 2 6 6 5 7 7 3 0 2 2 2 7 7 5 5 7 5 0 0 0 0 4 4 7 4
 0 0 5 5 0 1 0 5 6 6 0 0 5]",436.0,72.0,4.5,64.0,372.0,"(291.51190476190476, 80.39999999999992)"
16,17,num_word_similarity,10,9,nearest_neighbors,word-based,n50_de_rma,"[6, 8, 1, 5, 3, 8, 0, 3, 1, 1, 8, 1, 0, 1, 2, 7, 0, 1, 0, 1, 8, 6, 8, 1, 8, 5, 5, 8, 7, 8, 1, 9, 8, 7, 9, 1, 2, 6, 3, 8, 6, 6, 3, 8, 1, 8, 1, 0, 1, 1]",452.0,58.0,4.0,78.0,374.0,"(88.675425643872543, 24.614779247690731)"
17,18,num_word_similarity,10,10,nearest_neighbors,sentence-based,n50_de_rma,"[0 3 0 1 1 5 0 1 0 1 5 1 8 3 3 8 0 1 1 1 6 6 6 4 4 2 5 9 5 4 9 9 0 7 4 5 7
 2 0 2 8 5 1 9 5 3 5 2 1 8]",334.0,54.0,4.0,82.0,252.0,"(394.11190476190484, 90.359999999999943)"
18,19,num_word_similarity,10,9,precomputed,word-based,n50_de_rma,"[0, 5, 7, 9, 1, 5, 1, 3, 1, 3, 1, 1, 2, 1, 1, 2, 3, 3, 0, 0, 2, 2, 0, 1, 0, 0, 0, 5, 3, 5, 9, 4, 0, 4, 4, 4, 7, 1, 0, 8, 2, 2, 3, 2, 1, 0, 2, 2, 0, 0]",414.0,62.0,4.0,74.0,340.0,"(87.923666600440129, 25.373921211077469)"
19,20,num_word_similarity,10,10,precomputed,sentence-based,n50_de_rma,"[6 3 1 0 1 5 1 1 6 1 2 1 8 3 0 1 1 1 1 1 8 8 8 0 9 9 1 9 2 9 9 9 6 4 4 0 4
 7 7 3 2 9 1 6 2 7 3 3 1 1]",378.0,70.0,4.0,66.0,312.0,"(388.68095238095242, 88.479999999999905)"
20,21,num_word_similarity,10,7,rbf,word-based,n50_de_rma,"[0, 0, 0, 1, 9, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 9, 0, 8, 0, 4, 0, 0, 6, 0, 0, 0, 0]",1414.0,98.0,2.0,38.0,1376.0,"(81.511625108934595, 24.336675845303251)"
21,22,num_word_similarity,10,10,rbf,sentence-based,n50_de_rma,"[4 4 4 4 4 4 4 4 4 9 5 4 4 4 4 4 4 4 9 3 4 4 4 7 4 5 4 2 7 1 1 4 4 4 7 0 2
 4 4 6 4 4 4 6 4 4 4 8 3 4]",1112.0,74.0,2.0,62.0,1050.0,"(399.87878787878566, 75.63999999999993)"
22,23,num_word_similarity,10,7,sigmoid,word-based,n50_de_rma,"[1, 2, 2, 1, 2, 2, 6, 2, 5, 2, 1, 5, 2, 4, 1, 2, 3, 2, 0, 2, 2, 2, 2, 5, 2, 2, 2, 2, 3, 2, 2, 2, 2, 5, 5, 5, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5]",1028.0,114.0,2.0,22.0,1006.0,"(66.736940836210579, 23.8770052302811)"
23,24,num_word_similarity,10,10,sigmoid,sentence-based,n50_de_rma,"[0 0 2 4 2 4 0 0 0 6 0 7 0 0 0 0 0 4 4 2 0 0 0 5 3 4 2 1 0 8 9 4 0 4 0 4 0
 2 0 2 0 4 2 4 0 0 0 0 4 0]",806.0,66.0,1.0,70.0,736.0,"(396.4706493506506, 76.560000000000016)"
24,25,num_word_similarity,10,7,polynomial,word-based,n50_de_rma,"[3, 3, 3, 3, 2, 3, 1, 2, 2, 2, 3, 3, 3, 3, 3, 5, 1, 2, 0, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 6, 3, 2, 2, 3, 3, 2, 3, 9, 6, 2, 6, 3, 6, 3, 3, 2, 3]",968.0,72.0,2.0,64.0,904.0,"(84.866084368683858, 25.56812202923312)"
25,26,num_word_similarity,10,10,polynomial,sentence-based,n50_de_rma,"[0 0 0 0 0 0 0 0 0 0 3 0 7 0 0 0 0 0 0 0 0 0 0 8 8 7 0 8 3 1 5 5 0 9 2 0 3
 6 0 7 0 0 0 4 0 0 0 7 0 0]",1128.0,70.0,1.5,66.0,1062.0,"(513.15909090908838, 83.879999999999953)"
