Unique ID,Text: Verbatim
3018Q3ZVOJ1OYR7WLLWD01LHK49RAB,personal transportation is one of the best innovation.
3018Q3ZVOJ1OYR7WLLWD01LHK5UARH,"We have a lot of old and unused train tracks in my town, so I like to create some kind of manually powered train type vehicle that would each fit several people and could be propelled forward either manually for free or with power for a fee."
304SM51WA4F5IGC16OWELMAJO29BS2,Underground walkways at traffic intersections. This would eliminate the need for crosswalks and improve the flow of traffic.
308Q0PEVB9OX09U83SO4QE96RM79I1,pretty good
308Q0PEVB9OX09U83SO4QE96RSM9IS,"Obviously teleportation would be awesome, like with portals to common places."
308Q0PEVB9OX09U83SO4QE96RT39IB,"I think it would be great to have a jitney-type bus that you could hail like a cab directly from the street.  The jitney would be electric powered and follow a specific route.  I think this would be great because I live in a town that has many tourists, but does not have a large population.  It could shuttle tourists to different areas, but the tourists wouldn't have to worry about a specific bus schedule.  The jitney could drive on streets that are not bus-accessible (some of our streets are ""old world"" and very narrow). There is also some frustration in my town about not having a vibrant night life because of lack of public transportation.  This jitney would allow people to go downtown, especially college students, and have some drinks without worrying about driving.  One of the stops would be the college campus. The jitney would have a very low fair to encourage people not to drink and drive.  This jitney would help downtown businesses and restaurants."
308XBLVESJFTH1CORZW9VC5N25MBRK,"There should be large carousel in the city that circles the block, so people just get on a horse and go where they can."
308XBLVESJFTH1CORZW9VC5N2UFBRR,A system with auto mated self driving vehicles powered by cold fusion technology
308XBLVESJFTH1CORZW9VC5N2WPBR5,"Telepads! The Transportation of the Future! Simply step on this portal pad, and you are instantly transported to your location! The movement of molecules into energy is completely safe, and many users only experience a minor burning sensation for a minute after the teleportation process. Forget flying cars, late trains or other outdated modes of transport, and tele away with Telepads!"
30BUDKLTXE62JHQA4JLWTJ6CDXGE55,pod like stock cars for city that run on electric. They can be in routes and be like taxis but driverless.
30BXRYBRP588GAWWQLGB4MG2P97HWY,I imagine a magnetic public hovercraft system that goes to individual homes on a grid.
30BXRYBRP588GAWWQLGB4MG2PADWHL,Combining food delivery services with taxi driving to maximize efficiency.
30BXRYBRP588GAWWQLGB4MG2PSBHW4,I would love to see a light rail system in my community. I am thinking of above ground trains that would run to the various suburbs and take people to various local stops. These trains should run a regular schedule so people can use them to commute.
30H4UDGLT3T4OF065WIT4XG2DBTPM0,A station with a tube in the ground with a high speed pod that would shoot me at a quick speed across the city or across the country in a couple hours. It would be faster than an airplane and safer too.
30IQTZXKALHCUAVQ2I5C0DVSC02X08,Vacuum tunnels like the ones that banks use. Get into a pod and set a destination.
30IQTZXKALHCUAVQ2I5C0DVSCL0X0C,It be awesome to have Subways to get to downtown faster for Football game and save money on parking.
30JNVC0ORAV3WD0AECH5CXYG1IGQHD,Conveyer belt-like roads - the roads move instead of the cars while on a freeway until time to exit -- I haven't figured that out yet.
30JNVC0ORAV3WD0AECH5CXYG1J1HQR,Make an interstate system that is powered by a conveyor belt.
30LB5CDZNDL1Z5V530TXXYB3KD7Z04,A high-speed rail that goes around the neighborhood into the city.
30LB5CDZNDL1Z5V530TXXYB3KK5Z0G,"My neighborhood will continue to use mainly personal vehicles as a mode of transportation, though the downtown area is working on an underground rail system."
30LB5CDZNDL1Z5V530TXXYB3KXFZ0G,"A human carrying drone. This would require it to be build and withstand certain weight thresholds, such as up to 200 pounds. You would call a drone in and let it know where you want to go. It would pick you up and fly you there at a decent rate of speed and without having to sit in traffic."
30LSNF239V6M0P99IJ9PGR1SLGTI2E,"My small rural town doesn't even have an intact bus system, so anything would be better than it is now. But I would like a service that has people who drive pick up trucks to help you move things. For instance, if you go to the store and purchase a new couch, I'd like to have something like Uber for Pick Up Trucks to call and have them bring my sofa home so that I don't have to pay for outragious delivery fees from the store."
30LSNF239V6M0P99IJ9PGR1SLOC2IX,"ROAD TRANSPORT - BICYCLE (GOOD EXERCISE FOR OUR WHOLE BODY, LOW COST AND NO POLLUTION.
http://postimg.org/image/kihkw2291/"
30LSNF239V6M0P99IJ9PGR1SLSI2IB,Uber like school bus system
30LSNF239V6M0P99IJ9PGR1SLSII2R,a bus that plays all 80s music all the time
