,S. No. ,Entry
,1,"Space News (10/28, Subscription Publication) reported that China Great Wall Industry Corp has been awarded a $208 million contract from Thaicom subsidiary International Satellite Co for a “high-throughput Ka-band broadband satellite” with 37 GHz capacity, calling it a “breakthrough deal for China’s satellite export industry.” The contract covers both satellite construction and its launch, which is planned for late 2019."
,2,"TelecomPaper (10/26) reports that the Korea Aerospace Research Institute and Thales Group plan to sign a $40 million agreement to “jointly develop a Satellite Based Augmentation System (SBAS) for GPS by 2021,” according to information from South Korea’s Ministry of Land, Infrastructure and Transport. The system aims to reduce GPS aviation errors, “providing more accurate location of aircraft by using satellites.”"
,3,"In continuing coverage, the Irish Independent (10/19) reports that astronaut Tim Peake opened Thales’ “new £6m (€6.7m) space propulsion centre in Belfast,” which “will be manufacturing propulsion systems for sending high-tech satellites into space.”"
,4,"The Arizona Daily Star (10/15) reported that Raytheon Missile Systems is developing small, disposable military satellites that provide ground forces “the ability to get high-resolution satellite images of the battlefield via their smartphone or other hand-held devices within 90 minutes.” The Space Enabled Effects for Military Engagements (SeeMe) program is managed by the Defense Advanced Research Projects Agency (DARPA) and each of the “nano satellites” weighs about 50 £s and is expected to cost less than $500,000. Raytheon’s project has lost government funding and experienced launch delays, but the company “still hopes its SeeMe satellite prototype will be flown in space sometime next year.” The Pentagon is reportedly interested in the “fast-evolving commercial small-sat industry.” Gen. John E. Hyten said in a keynote speech at the AIAA/Utah State University Conference on Small Satellites, “When the commercial sector starts investing money and starts proving capabilities, just like in the launch business, we’re going to walk into that with eyes wide open and figure out how to take advantage of those capabilities.”"
,5,"Forbes (8/30) reports that a Falcon 9 satellite launch typically costs SpaceX customers $62 million, but the use of reusable boosters could bring the price of a launch down 30 percent to around $43 million, according to Shotwell"
,6,"Forbes (8/30) reports that a Falcon 9 satellite launch typically costs SpaceX customers $62 million, but the use of reusable boosters could bring the price of a launch down 30 percent to around $43 million, according to Shotwell"
,7,"UPI (8/18) reports that the UK Ministry of Defense announced on Thursday that it has placed an order for a third solar-powered Zephyr-S UAV as part of a $16.9 million contract deal with Airbus Defense and Space. The UAV will be part of a 2017 demonstration project to assess its potential use by the UK military. The article explains that the Zephyr-S can fly at altitudes as high as 70,000 feet for up to 45 consecutive days at a speed of 35 miles per hour. In addition, the aircraft is often referred to as a High Altitude Pseudo Satellite (HAPS) since it behaves more similarly to a satellite than a conventional UAV."
,8,"The Boston Globe (8/11) reports that a group of over 50 science and engineering students from the University of Massachusetts Lowell has been awarded $200,000 to develop a satellite for NASA. Once the students have completed building the miniature satellite, named Space Hawk, NASA will launch it into orbit for a yearlong mission in 2018. The purpose of the mission is to evaluate the ability of the satellite to gather and transmit data at up to 50 to 100 megabits per second. UMass Lowell Assistant Professor Timothy Cook, who advises the student team, said, “What we’re really doing is taking images of the sun and sending them through high-speed communication systems.” Cook added, “We want to do it with a satellite of this size so that small satellites can send information very quickly in the future.”"
,9,"SPACE (7/26) reports that California-based space startup Audacy is looking to close “a Series A fundraising round of at least $15 million” in order to begin developing three satellites and two ground stations. The article explains that the company aims to raise about $250 million in funding and $500 million more in federal credit to “build the ground stations and get the satellites launched by 2019.” According to the article, Audacy’s satellite and ground station infrastructure could potentially support around 2,000 small cubesats, and may eventually also support some lunar missions. Audacity CEO Ralph Ewig suggested that this ability would allow Earth-observation companies to transmit data back to customers, enable launch providers to better track their rockets, and help internet service providers to better monitor large satellite constellations."
,10,"SPACE (7/26) reports that California-based space startup Audacy is looking to close “a Series A fundraising round of at least $15 million” in order to begin developing three satellites and two ground stations. The article explains that the company aims to raise about $250 million in funding and $500 million more in federal credit to “build the ground stations and get the satellites launched by 2019.” According to the article, Audacy’s satellite and ground station infrastructure could potentially support around 2,000 small cubesats, and may eventually also support some lunar missions. Audacity CEO Ralph Ewig suggested that this ability would allow Earth-observation companies to transmit data back to customers, enable launch providers to better track their rockets, and help internet service providers to better monitor large satellite constellations."
,11,"Space News (7/25, Subscription Publication) reports that the US Air Force announced on Friday that it is still expecting to debut the next Space Based Space Surveillance (SBSS) system in 2021, despite requesting $11.5 million less in funding than expected for the project from Congress. The article explains that the SBSS monitors the geosynchronous orbital belt, “which is located some 36,000 kilometers above the equator and is home to the Air Force’s most critical satellites.” In an email to Space News, Air Force spokeswoman Capt. AnnMarie Annicelli, said that the funding for the system “was aligned to match the adjusted program schedule, which allowed for the $11.5 [million] reduction.” However, Annicelli did not specify how the program schedule had changed"
,12,"The Guardian (UK) (7/12) reports the UK Space Agency has announced that it plans to invest more than £4 million in a new facility aimed at testing space technologies for the purpose of interplanetary travel. The article explains the National Propulsion Test Facility “will boost the UK’s capabilities for testing propulsion engines for space exploration as well as a range of other spacecraft and satellites, with construction of the facility expected to be completed within the next two years.” Mark Ford, head of propulsion engineering at the European Space Agency, which oversees the project, said, “Propulsion is really important to the UK – it is one of the hidden gems in the whole space industry,” adding, “What the UK wants to do is not only support development of the current engines, but also develop bigger engines for [space] exploration.”"
,13,"McClatchy (7/1) reports that the government will build its new $1.75 million headquarters for the National Geospatial-Intelligence Agency in Missouri, despite Illinois’ efforts to get the “federal satellite spy agency project.” Missouri, unlike Illinois, however, hired lobbyist Kit Bond, “a former four-term Republican senator and two-term governor of Missouri.” McClatchy states that “It’s difficult to know whether Bond’s involvement was a decisive factor in selecting the site for the new facility,” yet it points out the high connections Bond has to Congressional lawmakers and staffers. The article highlights the surprise generated by the agency’s announcement of St. Louis for its headquarters rather than Scott Air Force Base in Illinois."
,14,"Military & Aerospace Electronics (6/17) reported that CACI has been awarded a $43.9 million US Air Force contract to maintain and operate the Air Force Satellite Control Network (AFSCN), including operations and maintenance at eight mission locations globally as well as “AFSCN factory compatibility testing” and “phase-in sustainment activities.”"
,15,"Washington Technology (6/14) reports in its “Editors Notebook” blog that the US Air Force awarded CACI, through its acquisition of L-3 National Security Solutions, “a $445.9 million contract to support the Air Force Satellite Control Network [AFSCN],” which “consolidates three existing contracts – the Satellite Control Network contract, the Network and Space Operations Maintenance contract and the Engineering, Development and Sustainment contract.” The incumbents on the exiting three contracts are Harris Corp., Lockheed Martin and Honeywell International. Washington Technology anticipates a protest to the “large” award."
,16,"Bloomberg News (6/8) reports that Airbus Group SE is close to selling its remaining 23.6 percent stake in Dassault Aviation SA. Airbus’ holding has a market value of approximately 2.1 billion euros ($2.4 billion), and the company has been trimming its stake of nearly 46 percent of Dassault since 2015 as part of the plan to sell off its assets to “focus on its core business.” Sources indicate that a “sale could come as soon as this week.” Airbus sold its satellite communication business to Apax Partners and its defense electronics business to KKR & Co. earlier this year."
,17,"The Satellite Industry Association’s annual report states that the satellite industry’s revenue increased 3 percent from 2014 to 2015, according to Reuters (6/2), reaching $208 billion globally last year. The reports notes that “U.S. companies accounted for 43 percent of the revenue” and US manufacturers were awarded 11 of the 17 orders for commercial communications satellites around the globe. Breaking down the number further, revenues for satellite manufacturing increased 4 percent to $16.6 billion, while revenues for satellite services rose 4 percent to $127.4 billion."
,18,"Flightglobal(5/24) reports that Saab has started work on modifications to Bombardier Global 6000 aircraft that will bring the UAE-bound jets to its GlobalEye configuration. The work comes as part of a $1.27 billion deal in which Saab will adapt the Global 6000s “to be capable of conducting airborne early warning and control (AEW&C), maritime and land surveillance and electronic intelligence duties.” The aircraft will feature the Erieye ER active electronically scanned array radar, voice and satellite communications equipment, and a Link 16 data link."
