Synth,ID,Solution Set: Group Novice
standard rail system,1111112,Photo-voltaic cells trains that do not stop > save time road under train track to save space 
061noise,1111113,Bicycles are awesome no need fuel environmentally friendly helps you exercise-stay healthy and keep fit cheap - multipurpose improve this mode of transportation make it even more portable make it faster if needed GPS etc  Train small-scale? scale down? block to block? Tram pooling personal trains many railway levels - star wars john carter play on train interactive windows add more functionality & form to train rides
022noise,1111114,Portable-space saving 1m tall 10cm thick cheap - incentive to buy multipurpose - produces energy>charge phone humidity water bottle healthy environmentally friendly no fuel needed
road in new dimension,1111115,utilise the vertical spaces for transportation routes as well (like from 'the fifth element' movie) to accommodate this increase in number of vehicles + increase in unique circumstances different vehicles of difference circumstances at different elevations
065noise,1111116,Portal transportation  Tubed transportation new highways pods solar cell-covered network of routes map/ entertainment chair inside maglev inside of capsule electric powered magnet to make it 'float' in tube  rocket launching
flying wearable,1111117,jetpack version  He He He 
023noise,1111118,Icecubes hot water t difference > voltage wee
sustainable,1111119,Body of car is plastic so can melt the unwanted cars/ old cars and create new cars to save materials runs on plastic>reduce number of plastic wastage>greener world
042noise,1111120,self driving holonomic omnidirectional ramps magnetic suspension minimise shock netflix
cable,1111121,cable cars on tall housing development projects to MRT tracks why cable car: cheaper than tracks able to harvest vibrations add rails under the cable cars so they can go under each other MRT station
046noise,1111122,electric wheelchair  electric scooter  smartphone powered car  drone shopping for groceries
electric vehicle,1111123,electric uniycle  scoots  carpooling smartphone location info go!  SG travel App going to? travel options + cost book carpool nearest public bicycle scooter personal motorised transport> charging ports>velib public loan system charging stations public vehicle navigation system smartchip embedded on every transportation device traffic tracking (zonal)>deep learning optimised navigation route
robot,1111124,AI robot person *not drawn to scale (AI robot is average size of a man) in case you can't tell from my drawing the AI robot is piggy-backing the person
enhanced car,1111125,#market spoiler zenlee creative 
route planning,1111126,speed depends on crowd at that time priority given to the car that reaches the junction first speed of the car at the junction will be controlled   a system underground follow the desired path chosen   the driver before reaching the junction car auto-handle
standard bike,1111127,Think like batman!!! tiny ba  bike 
054noise,1111128,Flying boots gravitational boosters x2 protection from gravitational fluctuation aditya's legs  Flying pants  Cannon launch point a long distance  Gundam  Multi-level vehicles
levitation,1111129,Make it more convenient to get from one place to another Maglev chair bicycle pedal (generate electricity) forward 'sushi style' > transport people electromagnetic repulsion bicycles can be placed stools get on easily pavements improved ergonomics of chair
051noise,1111130,Cloud with engines inside seats = soft collapsible fibre (can be 'crushed' to the size of an iphone high-power propellers  GPS antenna harvest energy from lightning voldemold
063noise,1111131,Scroll of town portal town a town b vaccum pipes to transport people (or magnets?  modular train  multistory train train with multiple storeys
039noise,1111132,New 'bai lun' this would be a success because of the way it is  It is like a FedEx but for people Barcode supermarket scanner EPD - efficient people delivery federps delivery man bus interchange FEDERES
059noise,1111133,Instead of going to work work goes to you! your boss wake up now  soft landing missile for transportation of goods door to door (GPS coordinates to your exact location in seconds) non lethal warhead stuff you brought just 20 seconds ago
teleportation,1111134,portal worm hole 1 jump in worm hole 2 jump out
teleportation,1111135,portal no traffic jam no wastage of energy most importantly fast!!!
teleportation,1111136,portal blue
cable,1111137,setup cable-car glide above singapore users can go to any point in the grid and call for cable car. Then they select another point on grid and the car automatically travel to that point platform to board 
orbit,1111138,ionosphere orbital elevator fuel free flight using natural orbital forces for mass- transport across continents
teleportation,1111139,KFC delivery teleportation stop pay here vanessa chong yue ning
wave propagation,1111140,wave applying wave behaviour to train tracks   elevating the track convert gravitational potential energy to kinetic potential energy vibration of train will power the piston that will elevate the track give it a sinusoidal behaviour train constantly at the highest point move track will move the train roller coaster track piston train cannonn spring
055noise,1111142,rocket pants more rocket science  just add unicorn e boticon  magic potion
066noise,1111143,SMRT tuna 100% fresh  helium upgrade Floatation my pants give me super powers
self-driving bus,1111144,autonomous bus that dominates the land air & sea ultrasonic sensors are awesome I rate them  5/ 5. terror on tracks
regulation,1111145,Iron Hermes use TCAS in aviation for network communication among nodes no infrastructure change required use existing roads or upgrade them force user to follow path if existing roads and ____ upgrade to magnetic roads powered   solar energy etc locts exactly like sandals (for singapore weather) rocker power propulsion or magnetic levitation or other floating channels that can provide lift use as normal shoes if not needed use existing road communication for safety limit forward velocity to 40/50 km/h for safety since singapore so small this feed should be fine to get anywhere
road in new dimension,1111146,multiple layers of roads multiple destinations in one level there's one on direction ladder from one level to another auto tracks car track is designed   computer system optimization
electric vehicle,1111147,single driver electic vehicle joystick/ steering wheel - unicycle segway segway-like tyre self balancing
self-driving bus,1111148,Convenience automated public transport - taxi buses train servies  Pollution electric vehicles  Congestion even and odd system implemented with a twist all over singapore we can have 2 storeyed roads level 1 (ground level for even numbered cars) and 2 (for odd numbered cars)  Mit plan 'death of the traffic light' with 'smart' sensors that prevents vehicles from colliding to one another and would be able to aware on when and where to cross a junction. 'basically change the traditional system'  accidents automated vehicles solve the problem of rash and drink driving
self-driving bus,1111149,monster truck seat add autonomous system self-driving
route planning,1111150,auto-pathway>no traffic jam auto-direct system 
060noise,1111151,solar cell/ umbrella  rapunzel  limitation head might spin  limitation reaction might be too weak maybe can hop from one place to another
self-driving cars,1111152,personal compact vehicles auto driving  underground speed highway propels vehicles forward to destination (replacement for high speed rails) auto-driving networks
virtual,1111153,Surogate and Bots upload subconscious to ficebase download it onto robot near the place he/she wish to be at then he controls the robot  teleportation singapore in out
050noise,1111154,flying thing  narror road  run prine palm sensors magnet
tubes,1111156,giant suction tubes point a point b
wheeled wearable,1111158,roller shoes (rectangle)
moving rooms,1111159,  buy grocery   load grocery to trolley automated trolley send it to door foldable foldable & easy to bring around compartment for stuff
007noise,1111160,drunstix cycle thin and compact wheels vroom vroom move based sensor warning headlights handle grips pedal
moving surface,1111161,move based on the tracks on the floor using sensors cushion arm rest head rest
moving rooms,1111162,integrated house transport system a day before plan your trip where are you heading to? Depart from arrive at time to walk to the busstop office surbana
tubes,1111163,there would be no more walking each bubble has an ID converible cover to enjoy outside surrounding fingerprint activation (or facial or vocal) walls made of modular glass so that multiplus cubicles can be joined together like tessalations hexagon base is most ideal for tessalation think honey bee sensors(sonar/light for obstacles) panels to control ambience in the bubble GPS input final destination office building vacuum suction to desired floor
035noise,1111164,pavement shuttle cart
flying,1111165,flying sofa travelling remote control
access,1111166,smart dynamic bus key in destination confirm + payment busstop bus system: existing bus generates route based off: demand/ supply of passengers from 1 location to the next quick diversion to pick up passengers on the way bus dynamically shift rates to accutomise to demand based off smart algorithm
self-driving cars,1111167,for cars & vehicles for bicycles & pedestrians for mrt driverless system for optimizing travel time and mileage single passenger car combine 2 or more of such pods like lego multi passenger car carpooling of driverless e-cars center car station vertical parking
