,cluster,n,keywords,idea
5417,102,29,"['bus', 'route']","A Bus system, within the metro area that was funded by a tax on gas purchased by individual commuters. In otherwords, free to the people who use the bus, and costs the people who don't. have the busses rinning from a set time like 6am to 9 pm  and pickups are every 15 min, so you never need to bother with knowing the bus schedule. Also, have all busses make a stop in the center of town so if you need to get across town, take a bus from you house to the center, and from there to your final destination. There should be a bus passing every school, hospital, shopping center, library ect. Simply run smaller buses on less popular routes, use smaller buses in general. make one special route for city to city transfers. The system needs to be free or very affordable, fast and convenient. No need to waste resources and infrastructure on schedules, call centers, web pages, just keep it simple and convenient."
5418,102,29,"['bus', 'route']","A bus that is programed to do the fastest route possible for what people need. There is a station where they push their destination, and a program figurs out who needs to go where and the best way to do it. Reduces wait time and makes more people want to use it."
5419,102,29,"['bus', 'route']",A cab system which optimizes fares by calculating the best way to get multiple people to their destination. It's like a bus but it doesn't follow a route.
5420,102,29,"['bus', 'route']","A circulatory bus system consisting of two vehicle traveling in opposite directions on a set route but with no designated stops. The route in my small district of the city takes approximately 20 minutes to to circumnavigate and consists of goth commercial districts. One would never be more than 10 minutes fro being able to hail the ""jitney"" bus. This alleviates the use of regular bus system which is much more focused on funneling clientele to central city and runs more or less eradicately.It envisions using current tech and is human centered. It is innovative in it's goals not hardware."
5421,102,29,"['bus', 'route']",A new bus route that could go through my town. It would have a different route than the buses we currently have.
5422,102,29,"['bus', 'route']","A new transportation system for my neighborhood would be a uber-like bus service. Buses have specific routes, and can stop at any point on that route if you use the service. That way you can have one pick you up close to your house instead of having to drop your car off at a bus station."
5423,102,29,"['bus', 'route']","An uber-like system for public transit busses. Riders must request pick up 24 hours ahead of time, and the bus would come to their door or as close as it could to pick the rider up. The fare could be determined by how many riders requested pick up, and drop off to a central location (downtown). From there maybe there would be additional busses that go directly to drop off points rather than on a pre-set route."
5424,102,29,"['bus', 'route']","buses should be branded by route, and have brightly colored easy to identify signs"
5425,102,29,"['bus', 'route']","Companies should use some of their advertising budget to provide rides to certain places.  This would double as advertising for that company, so they would not lose out on money and we could get unique transportation for several untapped routes, especially if it is discovered that a lot of people are traveling outside of their usual living area, like for a special event.  The companies could create specialized buses so that several people can ride, and can put their logo on the outside of the bus and could name the transportation something catchy using the company name so that word-of-mouth provides extra advertising."
5426,102,29,"['bus', 'route']","First off, that's a really choppy question.



There could be a network of ride sharing. Sort of like if Uber was a bus. People would have a regular route and others would request a ride to a central location. It would be mostly people commuting to work together. This would be done through phone apps."
5427,102,29,"['bus', 'route']","How about a deluxe line of buses. You have to pay 150 or above a month for a pass, but these run better routes, and they actually run on time. The regular monthly bus pass is 65, but the service is terrible. On this new route, absolutely no discounts, no half fares, no free rides. Always have security on the bus to get rid of the riff raff. This new deluxe bus wouldn't even share stops with the regular bus route."
5428,102,29,"['bus', 'route']","I have recently returned a small-to-mid-sized city (60,000+ people, down from over 125,000 at its peak) after 20 years, and the public transportation system here is non-existent, Uber does not exist here (the nearest key city of 250,000+ people is 40 miles away), and there are 2 very small taxi companies which are not cost-effective or nearby enough to be efficient to use. In a situation like this, any alternative transportation would be beneficial, as this is a city where without a car/traditional vehicle, your ability to get even basic errands accomplished is compromised greatly. The city cited low ridership and rising fuel costs to keep the giant, hulking city buses operating as the reason for cancelling the public routes. My proposal would be to have smaller, and highly fuel-efficient modified Sprinter vans, each serving one small portion of the community, and running a smaller amount of the fleet during off-peak hours. This would allow the most economical and efficient model for the community to have access to needed transportation."
5429,102,29,"['bus', 'route']",I imagine a way to ride a school bus to various spots on its route. You would be pre-screened as an adult who could act as a school bus monitor and at the same time gain transportation to a location near the school. It would solve the problem of kids riding unsupervised and give another public transportation option in the neighborhood.
