,cluster,n,keywords,idea
0,1,0,[],A bullet train to connect major cities in the state and outside of the state.
1,1,0,[],A cablecar system
2,1,0,[],A car sharing system to help with the last leg or mile of transportation from the bus or rail or subway. A system where you have a share or part ownership in a fleet of cars.
3,1,0,[],A chalkboard based on the same technology as a Magna-Doodle. No more buying chalk or markers.
4,1,0,[],A device that can tap into a person's brain that could stop addictions.
5,1,0,[],a great discover for human
6,1,0,[],A grid system in which people load and unload off of a small transit rail.
7,1,0,[],A lazy river that takes people to St. Charles so they can go to the french quarter.
8,1,0,[],"A local company bought and released a fleet of self-driving cars for my neighborhood.  All you need to do is open up their app on your phone and request a vehicle by GPS or address. It arrives in a short amount of time or you can schedule it to arrive at a certain time. For a small fee or with a subscription fee, you can be taken anywhere without owning a car."
9,1,0,[],A moving form of transportation where a user stands on one leg and kicks off over and over with the opposite leg in order to propel forward.
10,1,0,[],"A networked bicycle system in town that lets people connect for riding, either to work, or out for fun. It would get the community involved together, and do a lot better with lowering polution."
11,1,0,[],"A nice way of transportation would be moveable sidewalks, like from The Jetsons."
12,1,0,[],"A people mover like in the airport, but in place of regular city sidewalks instead."
13,1,0,[],A public bus transport system that will alllow commuters to get from point A to point B. This will allow for citizens to save money and be energy efficient.
14,1,0,[],A rail system which uses the median on interstates for the tracks. That way no space needs to be cleared for infrastructure. Entrance and exit would need to be to overpasses the interstate travels under.
15,1,0,[],"A scooter called the ""quad-scooter"" could hold up to 4 people with a glass bubble around it to shield them from debris and help keep them safe."
16,1,0,[],A sensor that let's the parent/ driver know that their child's car seat is properly installed
17,1,0,[],"A series of small, 2-seater autonomous electric vehicles designed to transport people, on call, to the regular bus routes that already run.  Think of them as the vehicular solution to the 'last mile problem'. This would allow people to completely dispose of their cars, while allowing people with little mobility to utilize the bus system.  Because the autonomous system is limited to the neighborhood -- i.e. roads where the speed limit is, at a maximum, 25 mph -- the vehicles can be pretty lightweight, since they won't have to deal with the problem of high-speed crashes.  Being autonomous, the vehicles can be used by *anyone* of any age. Because they are electrically powered, they place no additional hydrocarbons in the atmosphere.  Because they are in the neighborhoods, they place the bus system within everyone's reach.  Because everyone can use them, day or night, the number of cars on the road can be reduced substantially, thus reducing the hydrocarbon emission problem considerably.  Reducing the number of cars on the roadways make *every* neighborhood 'walkable': the dream of urban planners everywhere. The vehicles could be assembled and maintained locally, therefore  providing local employment. Funding could come out of already-existing local transportation millages: reducing local pollution rates would increase local property values. A small investment in this innovative solution could result in a large increase of the quality of life for everyone!"
18,1,0,[],A series of ziplines that can get you downtown.
19,1,0,[],"A simple bicycle exchange and rental program that works on a library card system. Bicycles are locked up around the city, and there are stations for returning bikes in padlocks. The whole system is operated by swiping a public library card."
20,1,0,[],"A smart car golf cart hybrid, weight relieved and runs on veg oil or electricity. For short trips ie: school,mail box, corner store. Licenced for the road with a top speed of 45mph"
21,1,0,[],A smart road grid that would integrate with electronic on each vehicle and be able to route traffic flow for the best efficiantly give traffic patterns at a given moment
22,1,0,[],A system with auto mated self driving vehicles powered by cold fusion technology
23,1,0,[],A Transportation which is used for elder and physically challenged people.
24,1,0,[],"A traveler uses an app or calls a number to set up a pickup location and destination. An automated taxi picks the traveler up and takes him/her to a hub. The traveler transfers onto a sky train. The sky train is either a fast monorail or a helicopter. The sky train departs to a hub closest to the destination. The traveler gets off and enters another automated taxi, which finishes taking him/her to the destination."
25,1,0,[],A vehicle that is self powered but only when the user operates the peddles under their own power. A steering mechanism is on the upper front area that allows an operator to turn left or right.
26,1,0,[],ai controlled vehicles so we can eat and do things during the commute
27,1,0,[],All cities connected with Train Network. It is the very comfortable transportation system for all humans.
28,1,0,[],all of use us then car is comfertable at the every movement
29,1,0,[],All persons having two wheelers or four wheelers or both. That time may be very high traffic while travelling. So increasing the road transportation as possible in near future.
30,1,0,[],all the transport is very very important to our life.
31,1,0,[],all the vehicles have very important our life.
32,1,0,[],Alternative transportation could be taking a trolley that would be the same cost as a local bus .
33,1,0,[],An air based transportation system built on smart drone technology.  The drone would need to be large enough and powerful enough o carry people and goods
34,1,0,[],An electric scooter renting/check in system
35,1,0,[],"An electrical bike share program. In my town, many people want to take bikes, but don't want to pedal. If the bikes were electric they would be used a lot more often."
36,1,0,[],An electromagnetic solar powered monorail. Its only a means to replace a standard city beltway people would commute to parking lots and take the rail to the inner city where it would connect with the local subway and bus system for extentability.
37,1,0,[],"An elevated air-tram service that connects to other major transportation options. Since it's above-ground, it can bypass a lot of traffic and one-way streets that plague and slow-down current options."
38,1,0,[],"An innovative transportation system in my neighborhood would be piggy-back rides.  It would be not only helpful to young and old alike, but a great strengthening exercise.  It's a small community where carrying people down the street to the library or up the street to the hospital would be an excellent way to build inner personal relationships between neighbors."
39,1,0,[],"Another idea for transportation would be automated shuttle drivers for the neighborhood.Google has an automated car so, before long, there will be automated transportation services..why not start in a neighborhood ?"
40,1,0,[],"Another way of transportation would be tube, such as in Futurama.The tube acts as a vacuum and 'carries' you to your destination in the neighborhood."
41,1,0,[],"Apartment complexes that have segway type machines that can be rented out. You can use them to go to the nearby grocery stores, etc, and return after an hour or so."
42,1,0,[],Automated car! A car that can drive automatically and protect you from accidents and bumping into things. Simply input the location you wish to go into your GPS and away you go!
43,1,0,[],"Automated high-density, elongated cars."
44,1,0,[],"Autonomic driving cars that can drive without the user's attention. This will eliminate traffic, deaths and some jobs."
45,1,0,[],Autonomous  vehicles that drive themselves on a smart transportation grid.  Need to go somewhere call for a vehicle tyo pick you up. Most local transport can be done without a personal car.
46,1,0,[],best road improve the Transportation
47,1,0,[],"Better GPS, on demand service like Uber but for chores, house work, etc"
48,1,0,[],Bike-pooling! Surrey bikes (bikes with multiple seats) could be used to get people healthy and move more than one person at a time.
49,1,0,[],"Biking Paths - in my city there are hardly any bicycle paths that can take you from east to west.  Biking paths would be ideal because they don't require energy from oil/gasoline.  Not very innovative, but I think this transportation system would benefit my community the most.  I would love to bike to and from work, but right now the only way to get to work is on major roads which do not have biking lanes, and would be unsafe to ride on."
50,1,0,[],bullet train running straight up and down the west coast would be super popular.
51,1,0,[],Car seats with massagers built in.
52,1,0,[],Car that use no gas
53,1,0,[],Cars that drive on their own and when people are going the same way the cars link to eachother.
54,1,0,[],Cars with airplane wings!
55,1,0,[],Cell phone teleport
56,1,0,[],Click to teleport
57,1,0,[],Closing off the downtown to cars would be amazing. The city could pay bike riders to tow carts that would pull around people!
58,1,0,[],Combine the new driverless car technology with a bus.  Create an app that people use to communicate with the bus and schedule rides.  The app could track their location and do calculations for where everyone is and wants to go then create the shortest and fastest route.  When there are no more riders the bus could park its self.
59,1,0,[],Conveyer belt-like roads - the roads move instead of the cars while on a freeway until time to exit -- I haven't figured that out yet.
60,1,0,[],"COSTLY CAR FOR RIDE,GOOD LOOKING MOTOR CYCLE,FULLY SECURED PUBLIC BUSES,FAST ELECTRICAL TRAINS,GOOD LOOKING BICYCLES"
61,1,0,[],"Create a track system for cars traveling long distances on the interstate. Cars could enter the track, and the track would control the vehicle speed and direction eliminating the need for driver participation until the need to exit."
62,1,0,[],"Dedicated lanes for motorcycles and bicycles etc, block cars from most streets, encourage renewable energy sources. No tolls for motorcycles and bicycles."
63,1,0,[],double decor traines
64,1,0,[],"Electric bikes can be charged wirelessly using inductive charging ""stations"" on the road. This would help with the longevity of the electrical charge and reduce carbon emissions from fuel-powered cars."
65,1,0,[],Electric bikes.  Bikes that require no effort and use electricity.
66,1,0,[],electricity is the great discover
67,1,0,[],floating pods like in the jetsons but they're automated and pick you up and drop you off on your command.
68,1,0,[],Fly for smart phone
69,1,0,[],Flying Car
70,1,0,[],Flying cars
71,1,0,[],Flying cell phone
72,1,0,[],"Free parking for self driving cars. Each family could use one car that would drive them around and then go to a designated spot nearby to wait. In it's downtime, it could even act as cab for other people so families could make more money."
73,1,0,[],future transport is important to our life.
74,1,0,[],future transportation system in my neighborhood is very important our life.
75,1,0,[],Geo tracking pet collar.  People love there dogs and cats.   I think there are people who would be willing to pay for a dog collar with a geo tracking device embedded in the collar.  If the dog gets loose and runs away the owner is able to know exactly where the dog is so s/he can be rescued.
76,1,0,[],Get rid of all cars so we can rid bikes and cause less pollution.
77,1,0,[],Giant Ice Luge Expressway That could get people from major buildings across town in a matter of minutes without traffic.
78,1,0,[],"Golf cart rental - similar to bike rental, but golf carts can hold families. With a small membership fee, you can rent a golf cart for an hour or a day. Return golf cart back to another station when you're done."
79,1,0,[],good
80,1,0,[],"Have car sharing at hot-spot sites, with a linked an app that simulates when cars are free."
81,1,0,[],"have self-driving jitney to run on main corridors, when you want to leave your house, just call an uber-like app, the next one will pick you up as long as you're within, say 1/2 mile or 1 mile. Along way it will pick up other riders heading same direction, drop off and pick up within 1/2 mile or so of. Combines bus/torlley service (running fixed route every 10 mins) with uber convenience, pickup at your door. and drop off at location."
82,1,0,[],"Hey, how about a monorail system!  I'm not kidding.  It's not just for Disney anymore.  My city runs basically on a north-south and east-west grid, main streets running parallel about two miles apart on both axes.  Four routes east-west and four routes north-south should just about do it.  Trams or mini-busses at each monorail stop for a comprehensive public transportation system.  We are in the Sun Belt, why not use solar to power the electric monorail.  It is the twenty-first century.  This idea has been on my mind for decades.  It might not work for everywhere, but it could work here, and quite a few other places I suppose."
83,1,0,[],Hover boards
84,1,0,[],"Hoverboards, such as the one that Tony Hawk endorsed, which use tracks which are magnetized, such as a MagLev train, have tracks going throughout suburbs and cities and we can get around with almost no friction, only air drag and spend less energy getting around."
85,1,0,[],Hovering cars.
86,1,0,[],How about a lift service through the air.
87,1,0,[],"How about a new one based on gliding, like you can rent or borrow gliders from places, or maybe small leg powered aircraft. Then you could land and pay a small fee for their usage."
88,1,0,[],Human-sized pneumatic tube transport. People would step into human-sized transport cylinders which would then be sent to their final destination through a network of pneumatic tubes that run beneath the city streets. This transport method was used extensively in the past for smaller scale items like mail and small packages. There is no reason it couldn't be scaled up to transport people as well. This concept could be compared to the proposed Hyperloop but on a smaller scale to transport idividuals over shorter distances within a city.
89,1,0,[],"I believe a rail car in the middle of the road would be great to take you from one part of the city to the other. This would obey normal traffic rules, but would be a no to low cost solution to transportation that would also drastically decrease DUI and traffic incidents due to alcohol."
90,1,0,[],"I believe that a more widespread use of carpool lanes would be a great idea. There aren't any in my area, but I think that building carpool lanes would reduce traffic congestion as well as encourage people to drive with more than one person in the car at a time."
91,1,0,[],"I believe that there should be a police cars that have the ability to take control over other vehicles. For instance, if a criminal is speeding down a highway, then there should be a way to highjack that car in order to ensure the safety for other citizens."
92,1,0,[],I can drive myself anywhere with my car for as long as I have gas.
93,1,0,[],"I did not see your previous task, so this is my first idea.  It would be computer controlled drones arriving at you front door.  They would be equipped with a compartment below the four horizontal propellers.  It would have a capacity for one person with one carry on.  There would be lanes in the ""mind"" of the computer that would coordinate altitudes so that the vehicle would avoid other vehicles and elevated objects such as trees and high wires.  The vehicle would take the person to a central station where mass transit such as a train would collect riders."
94,1,0,[],"I envision a bike rack where you can check out bikes that also have an electric motor.  You swipe your credit card (or some sort of near field smartphone transaction, etc) and pay a small rental fee.  If the bike is lost or stolen your card will be charged appropriately.  You can ride around the downtown, college campus, etc, and at the end of the day check the bike back into another (or the same) bike rack."
95,1,0,[],"I feel like a sleek looking car that functions as a hovering vehicle would be great.Could work on water and land, how about that!"
96,1,0,[],I have a transportational idea to use jet packs powered by biofuel.
97,1,0,[],I have an idea of turn my screenplay into a graphic comic series. My screenplay is an anti bullying story that focus on the consequences bullying can lead to.
98,1,0,[],"I imagine a trolley going around the block. Going slowly to encourage people to get on. It can become a great place for teenagers aswell as other people to ride around in it and such. The tracks can be made out of solar panels and whenever there is darkness, such as a child fall on too the tracks. Then the trolley will stop. Safe and convienient."
99,1,0,[],I imagine a world where there are high speed rails all over my neighborhood. People will be travel in public transportation in a fast and effective manner to anywhere they want.
100,2,33,['car'],A car sharing system to help with the last leg or mile of transportation from the bus or rail or subway. A system where you have a share or part ownership in a fleet of cars.
101,2,33,['car'],"A local company bought and released a fleet of self-driving cars for my neighborhood.  All you need to do is open up their app on your phone and request a vehicle by GPS or address. It arrives in a short amount of time or you can schedule it to arrive at a certain time. For a small fee or with a subscription fee, you can be taken anywhere without owning a car."
102,2,33,['car'],A sensor that let's the parent/ driver know that their child's car seat is properly installed
103,2,33,['car'],"A series of small, 2-seater autonomous electric vehicles designed to transport people, on call, to the regular bus routes that already run.  Think of them as the vehicular solution to the 'last mile problem'. This would allow people to completely dispose of their cars, while allowing people with little mobility to utilize the bus system.  Because the autonomous system is limited to the neighborhood -- i.e. roads where the speed limit is, at a maximum, 25 mph -- the vehicles can be pretty lightweight, since they won't have to deal with the problem of high-speed crashes.  Being autonomous, the vehicles can be used by *anyone* of any age. Because they are electrically powered, they place no additional hydrocarbons in the atmosphere.  Because they are in the neighborhoods, they place the bus system within everyone's reach.  Because everyone can use them, day or night, the number of cars on the road can be reduced substantially, thus reducing the hydrocarbon emission problem considerably.  Reducing the number of cars on the roadways make *every* neighborhood 'walkable': the dream of urban planners everywhere. The vehicles could be assembled and maintained locally, therefore  providing local employment. Funding could come out of already-existing local transportation millages: reducing local pollution rates would increase local property values. A small investment in this innovative solution could result in a large increase of the quality of life for everyone!"
104,2,33,['car'],"A smart car golf cart hybrid, weight relieved and runs on veg oil or electricity. For short trips ie: school,mail box, corner store. Licenced for the road with a top speed of 45mph"
105,2,33,['car'],all of use us then car is comfertable at the every movement
106,2,33,['car'],"Another idea for transportation would be automated shuttle drivers for the neighborhood.Google has an automated car so, before long, there will be automated transportation services..why not start in a neighborhood ?"
107,2,33,['car'],Automated car! A car that can drive automatically and protect you from accidents and bumping into things. Simply input the location you wish to go into your GPS and away you go!
108,2,33,['car'],"Automated high-density, elongated cars."
109,2,33,['car'],"Autonomic driving cars that can drive without the user's attention. This will eliminate traffic, deaths and some jobs."
110,2,33,['car'],Autonomous  vehicles that drive themselves on a smart transportation grid.  Need to go somewhere call for a vehicle tyo pick you up. Most local transport can be done without a personal car.
111,2,33,['car'],Car seats with massagers built in.
112,2,33,['car'],Car that use no gas
113,2,33,['car'],Cars that drive on their own and when people are going the same way the cars link to eachother.
114,2,33,['car'],Cars with airplane wings!
115,2,33,['car'],Closing off the downtown to cars would be amazing. The city could pay bike riders to tow carts that would pull around people!
116,2,33,['car'],Combine the new driverless car technology with a bus.  Create an app that people use to communicate with the bus and schedule rides.  The app could track their location and do calculations for where everyone is and wants to go then create the shortest and fastest route.  When there are no more riders the bus could park its self.
117,2,33,['car'],Conveyer belt-like roads - the roads move instead of the cars while on a freeway until time to exit -- I haven't figured that out yet.
118,2,33,['car'],"COSTLY CAR FOR RIDE,GOOD LOOKING MOTOR CYCLE,FULLY SECURED PUBLIC BUSES,FAST ELECTRICAL TRAINS,GOOD LOOKING BICYCLES"
119,2,33,['car'],"Create a track system for cars traveling long distances on the interstate. Cars could enter the track, and the track would control the vehicle speed and direction eliminating the need for driver participation until the need to exit."
120,2,33,['car'],"Dedicated lanes for motorcycles and bicycles etc, block cars from most streets, encourage renewable energy sources. No tolls for motorcycles and bicycles."
121,2,33,['car'],"Electric bikes can be charged wirelessly using inductive charging ""stations"" on the road. This would help with the longevity of the electrical charge and reduce carbon emissions from fuel-powered cars."
122,2,33,['car'],Flying Car
123,2,33,['car'],Flying cars
124,2,33,['car'],"Free parking for self driving cars. Each family could use one car that would drive them around and then go to a designated spot nearby to wait. In it's downtime, it could even act as cab for other people so families could make more money."
125,2,33,['car'],Get rid of all cars so we can rid bikes and cause less pollution.
126,2,33,['car'],"Have car sharing at hot-spot sites, with a linked an app that simulates when cars are free."
127,2,33,['car'],Hovering cars.
128,2,33,['car'],"I believe a rail car in the middle of the road would be great to take you from one part of the city to the other. This would obey normal traffic rules, but would be a no to low cost solution to transportation that would also drastically decrease DUI and traffic incidents due to alcohol."
129,2,33,['car'],"I believe that a more widespread use of carpool lanes would be a great idea. There aren't any in my area, but I think that building carpool lanes would reduce traffic congestion as well as encourage people to drive with more than one person in the car at a time."
130,2,33,['car'],"I believe that there should be a police cars that have the ability to take control over other vehicles. For instance, if a criminal is speeding down a highway, then there should be a way to highjack that car in order to ensure the safety for other citizens."
131,2,33,['car'],I can drive myself anywhere with my car for as long as I have gas.
132,2,33,['car'],"I feel like a sleek looking car that functions as a hovering vehicle would be great.Could work on water and land, how about that!"
133,3,20,['transportation'],A car sharing system to help with the last leg or mile of transportation from the bus or rail or subway. A system where you have a share or part ownership in a fleet of cars.
134,3,20,['transportation'],A moving form of transportation where a user stands on one leg and kicks off over and over with the opposite leg in order to propel forward.
135,3,20,['transportation'],"A nice way of transportation would be moveable sidewalks, like from The Jetsons."
136,3,20,['transportation'],"A series of small, 2-seater autonomous electric vehicles designed to transport people, on call, to the regular bus routes that already run.  Think of them as the vehicular solution to the 'last mile problem'. This would allow people to completely dispose of their cars, while allowing people with little mobility to utilize the bus system.  Because the autonomous system is limited to the neighborhood -- i.e. roads where the speed limit is, at a maximum, 25 mph -- the vehicles can be pretty lightweight, since they won't have to deal with the problem of high-speed crashes.  Being autonomous, the vehicles can be used by *anyone* of any age. Because they are electrically powered, they place no additional hydrocarbons in the atmosphere.  Because they are in the neighborhoods, they place the bus system within everyone's reach.  Because everyone can use them, day or night, the number of cars on the road can be reduced substantially, thus reducing the hydrocarbon emission problem considerably.  Reducing the number of cars on the roadways make *every* neighborhood 'walkable': the dream of urban planners everywhere. The vehicles could be assembled and maintained locally, therefore  providing local employment. Funding could come out of already-existing local transportation millages: reducing local pollution rates would increase local property values. A small investment in this innovative solution could result in a large increase of the quality of life for everyone!"
137,3,20,['transportation'],A Transportation which is used for elder and physically challenged people.
138,3,20,['transportation'],All cities connected with Train Network. It is the very comfortable transportation system for all humans.
139,3,20,['transportation'],All persons having two wheelers or four wheelers or both. That time may be very high traffic while travelling. So increasing the road transportation as possible in near future.
140,3,20,['transportation'],Alternative transportation could be taking a trolley that would be the same cost as a local bus .
141,3,20,['transportation'],An air based transportation system built on smart drone technology.  The drone would need to be large enough and powerful enough o carry people and goods
142,3,20,['transportation'],"An elevated air-tram service that connects to other major transportation options. Since it's above-ground, it can bypass a lot of traffic and one-way streets that plague and slow-down current options."
143,3,20,['transportation'],"An innovative transportation system in my neighborhood would be piggy-back rides.  It would be not only helpful to young and old alike, but a great strengthening exercise.  It's a small community where carrying people down the street to the library or up the street to the hospital would be an excellent way to build inner personal relationships between neighbors."
144,3,20,['transportation'],"Another idea for transportation would be automated shuttle drivers for the neighborhood.Google has an automated car so, before long, there will be automated transportation services..why not start in a neighborhood ?"
145,3,20,['transportation'],"Another way of transportation would be tube, such as in Futurama.The tube acts as a vacuum and 'carries' you to your destination in the neighborhood."
146,3,20,['transportation'],Autonomous  vehicles that drive themselves on a smart transportation grid.  Need to go somewhere call for a vehicle tyo pick you up. Most local transport can be done without a personal car.
147,3,20,['transportation'],best road improve the Transportation
148,3,20,['transportation'],"Biking Paths - in my city there are hardly any bicycle paths that can take you from east to west.  Biking paths would be ideal because they don't require energy from oil/gasoline.  Not very innovative, but I think this transportation system would benefit my community the most.  I would love to bike to and from work, but right now the only way to get to work is on major roads which do not have biking lanes, and would be unsafe to ride on."
149,3,20,['transportation'],future transportation system in my neighborhood is very important our life.
150,3,20,['transportation'],"Hey, how about a monorail system!  I'm not kidding.  It's not just for Disney anymore.  My city runs basically on a north-south and east-west grid, main streets running parallel about two miles apart on both axes.  Four routes east-west and four routes north-south should just about do it.  Trams or mini-busses at each monorail stop for a comprehensive public transportation system.  We are in the Sun Belt, why not use solar to power the electric monorail.  It is the twenty-first century.  This idea has been on my mind for decades.  It might not work for everywhere, but it could work here, and quite a few other places I suppose."
151,3,20,['transportation'],"I believe a rail car in the middle of the road would be great to take you from one part of the city to the other. This would obey normal traffic rules, but would be a no to low cost solution to transportation that would also drastically decrease DUI and traffic incidents due to alcohol."
152,3,20,['transportation'],I imagine a world where there are high speed rails all over my neighborhood. People will be travel in public transportation in a fast and effective manner to anywhere they want.
153,4,18,['system'],A cablecar system
154,4,18,['system'],A car sharing system to help with the last leg or mile of transportation from the bus or rail or subway. A system where you have a share or part ownership in a fleet of cars.
155,4,18,['system'],A grid system in which people load and unload off of a small transit rail.
156,4,18,['system'],"A networked bicycle system in town that lets people connect for riding, either to work, or out for fun. It would get the community involved together, and do a lot better with lowering polution."
157,4,18,['system'],A public bus transport system that will alllow commuters to get from point A to point B. This will allow for citizens to save money and be energy efficient.
158,4,18,['system'],A rail system which uses the median on interstates for the tracks. That way no space needs to be cleared for infrastructure. Entrance and exit would need to be to overpasses the interstate travels under.
159,4,18,['system'],"A series of small, 2-seater autonomous electric vehicles designed to transport people, on call, to the regular bus routes that already run.  Think of them as the vehicular solution to the 'last mile problem'. This would allow people to completely dispose of their cars, while allowing people with little mobility to utilize the bus system.  Because the autonomous system is limited to the neighborhood -- i.e. roads where the speed limit is, at a maximum, 25 mph -- the vehicles can be pretty lightweight, since they won't have to deal with the problem of high-speed crashes.  Being autonomous, the vehicles can be used by *anyone* of any age. Because they are electrically powered, they place no additional hydrocarbons in the atmosphere.  Because they are in the neighborhoods, they place the bus system within everyone's reach.  Because everyone can use them, day or night, the number of cars on the road can be reduced substantially, thus reducing the hydrocarbon emission problem considerably.  Reducing the number of cars on the roadways make *every* neighborhood 'walkable': the dream of urban planners everywhere. The vehicles could be assembled and maintained locally, therefore  providing local employment. Funding could come out of already-existing local transportation millages: reducing local pollution rates would increase local property values. A small investment in this innovative solution could result in a large increase of the quality of life for everyone!"
160,4,18,['system'],"A simple bicycle exchange and rental program that works on a library card system. Bicycles are locked up around the city, and there are stations for returning bikes in padlocks. The whole system is operated by swiping a public library card."
161,4,18,['system'],A system with auto mated self driving vehicles powered by cold fusion technology
162,4,18,['system'],All cities connected with Train Network. It is the very comfortable transportation system for all humans.
163,4,18,['system'],An air based transportation system built on smart drone technology.  The drone would need to be large enough and powerful enough o carry people and goods
164,4,18,['system'],An electric scooter renting/check in system
165,4,18,['system'],An electromagnetic solar powered monorail. Its only a means to replace a standard city beltway people would commute to parking lots and take the rail to the inner city where it would connect with the local subway and bus system for extentability.
166,4,18,['system'],"An innovative transportation system in my neighborhood would be piggy-back rides.  It would be not only helpful to young and old alike, but a great strengthening exercise.  It's a small community where carrying people down the street to the library or up the street to the hospital would be an excellent way to build inner personal relationships between neighbors."
167,4,18,['system'],"Biking Paths - in my city there are hardly any bicycle paths that can take you from east to west.  Biking paths would be ideal because they don't require energy from oil/gasoline.  Not very innovative, but I think this transportation system would benefit my community the most.  I would love to bike to and from work, but right now the only way to get to work is on major roads which do not have biking lanes, and would be unsafe to ride on."
168,4,18,['system'],"Create a track system for cars traveling long distances on the interstate. Cars could enter the track, and the track would control the vehicle speed and direction eliminating the need for driver participation until the need to exit."
169,4,18,['system'],future transportation system in my neighborhood is very important our life.
170,4,18,['system'],"Hey, how about a monorail system!  I'm not kidding.  It's not just for Disney anymore.  My city runs basically on a north-south and east-west grid, main streets running parallel about two miles apart on both axes.  Four routes east-west and four routes north-south should just about do it.  Trams or mini-busses at each monorail stop for a comprehensive public transportation system.  We are in the Sun Belt, why not use solar to power the electric monorail.  It is the twenty-first century.  This idea has been on my mind for decades.  It might not work for everywhere, but it could work here, and quite a few other places I suppose."
171,5,12,['vehicle'],"A local company bought and released a fleet of self-driving cars for my neighborhood.  All you need to do is open up their app on your phone and request a vehicle by GPS or address. It arrives in a short amount of time or you can schedule it to arrive at a certain time. For a small fee or with a subscription fee, you can be taken anywhere without owning a car."
172,5,12,['vehicle'],"A series of small, 2-seater autonomous electric vehicles designed to transport people, on call, to the regular bus routes that already run.  Think of them as the vehicular solution to the 'last mile problem'. This would allow people to completely dispose of their cars, while allowing people with little mobility to utilize the bus system.  Because the autonomous system is limited to the neighborhood -- i.e. roads where the speed limit is, at a maximum, 25 mph -- the vehicles can be pretty lightweight, since they won't have to deal with the problem of high-speed crashes.  Being autonomous, the vehicles can be used by *anyone* of any age. Because they are electrically powered, they place no additional hydrocarbons in the atmosphere.  Because they are in the neighborhoods, they place the bus system within everyone's reach.  Because everyone can use them, day or night, the number of cars on the road can be reduced substantially, thus reducing the hydrocarbon emission problem considerably.  Reducing the number of cars on the roadways make *every* neighborhood 'walkable': the dream of urban planners everywhere. The vehicles could be assembled and maintained locally, therefore  providing local employment. Funding could come out of already-existing local transportation millages: reducing local pollution rates would increase local property values. A small investment in this innovative solution could result in a large increase of the quality of life for everyone!"
173,5,12,['vehicle'],A smart road grid that would integrate with electronic on each vehicle and be able to route traffic flow for the best efficiantly give traffic patterns at a given moment
174,5,12,['vehicle'],A system with auto mated self driving vehicles powered by cold fusion technology
175,5,12,['vehicle'],A vehicle that is self powered but only when the user operates the peddles under their own power. A steering mechanism is on the upper front area that allows an operator to turn left or right.
