,cluster,n,keywords,idea
0,1,0,[],Photo-voltaic cells trains that do not stop > save time road under train track to save space
1,1,0,[],Bicycles are awesome no need fuel environmentally friendly helps you exercise-stay healthy and keep fit cheap - multipurpose improve this mode of transportation make it even more portable make it faster if needed GPS etc  Train small-scale? scale down? block to block? Tram pooling personal trains many railway levels - star wars john carter play on train interactive windows add more functionality & form to train rides
2,1,0,[],Portable-space saving 1m tall 10cm thick cheap - incentive to buy multipurpose - produces energy>charge phone humidity water bottle healthy environmentally friendly no fuel needed
3,1,0,[],utilise the vertical spaces for transportation routes as well (like from 'the fifth element' movie) to accommodate this increase in number of vehicles + increase in unique circumstances different vehicles of difference circumstances at different elevations
4,1,0,[],Portal transportation  Tubed transportation new highways pods solar cell-covered network of routes map/ entertainment chair inside maglev inside of capsule electric powered magnet to make it 'float' in tube  rocket launching
5,1,0,[],jetpack version  He He He
6,1,0,[],Icecubes hot water t difference > voltage wee
7,1,0,[],Body of car is plastic so can melt the unwanted cars/ old cars and create new cars to save materials runs on plastic>reduce number of plastic wastage>greener world
8,1,0,[],self driving holonomic omnidirectional ramps magnetic suspension minimise shock netflix
9,1,0,[],cable cars on tall housing development projects to MRT tracks why cable car: cheaper than tracks able to harvest vibrations add rails under the cable cars so they can go under each other MRT station
10,1,0,[],electric wheelchair  electric scooter  smartphone powered car  drone shopping for groceries
11,1,0,[],electric uniycle  scoots  carpooling smartphone location info go!  SG travel App going to? travel options + cost book carpool nearest public bicycle scooter personal motorised transport> charging ports>velib public loan system charging stations public vehicle navigation system smartchip embedded on every transportation device traffic tracking (zonal)>deep learning optimised navigation route
12,1,0,[],AI robot person *not drawn to scale (AI robot is average size of a man) in case you can't tell from my drawing the AI robot is piggy-backing the person
13,1,0,[],#market spoiler zenlee creative
14,1,0,[],speed depends on crowd at that time priority given to the car that reaches the junction first speed of the car at the junction will be controlled   a system underground follow the desired path chosen   the driver before reaching the junction car auto-handle
15,1,0,[],Think like batman!!! tiny ba  bike
16,1,0,[],Flying boots gravitational boosters x2 protection from gravitational fluctuation aditya's legs  Flying pants  Cannon launch point a long distance  Gundam  Multi-level vehicles
17,1,0,[],Make it more convenient to get from one place to another Maglev chair bicycle pedal (generate electricity) forward 'sushi style' > transport people electromagnetic repulsion bicycles can be placed stools get on easily pavements improved ergonomics of chair
18,1,0,[],Cloud with engines inside seats = soft collapsible fibre (can be 'crushed' to the size of an iphone high-power propellers  GPS antenna harvest energy from lightning voldemold
19,1,0,[],Scroll of town portal town a town b vaccum pipes to transport people (or magnets?  modular train  multistory train train with multiple storeys
