,cluster,n,keywords,idea
0,1,0,[],"Something like this could be the personal transportation of the future. You'd have to eliminate a lot of safety issues, but a personal transporter that doesn't require the use of roads, or create traffic jams could be amazing. Cold fusion technology might make this possible, or the EMDrive"
1,1,0,[],"So in this idea you have a train system, but cars joining the existing train are accelerated prior to joining a constantly moving train.  This means the train effectively never stops to pick up passengers.  It just releases cars onto slipways.  It makes the trains completely reliable to within minutes"
2,1,0,[],"hydrogen fuel cell (powered by rain water), no pedalling, automatic gear-changing, lightweigh composite "
3,1,0,[],metal platform for a person to stand and can move around 
4,1,0,[],"aeroplane, hand phone, internet, aircon, wireless connection, GPS "
5,1,0,[],"mini car, solar panel "
6,1,0,[],"frame detachable, usb charged enabled (battery), detachable wheels which can be bagged "
7,1,0,[],"travelator for short distance, cover/ shelter "
8,1,0,[],anywhere door 
9,1,0,[],"double deck, MRT trains "
10,1,0,[],vertical transport system 
11,1,0,[],"lego inspired modular car, safety, space saving, private "
12,1,0,[],Magic flying carpet 
13,1,0,[],hoverboard 
14,1,0,[],car that can travel on water - make us of water as 'road' to travel around Singapore 
15,1,0,[],"Personal Hover Craft, All terrain personal hover craft, Patent Pending "
16,1,0,[],driverless vehicle 
17,1,0,[],"skateboard, jet propelled "
18,1,0,[],hover 
19,1,0,[],"Motorised roller blades, to be allowed on the roads "
20,1,0,[],jetpack 
21,1,0,[],"individual bubble carrier/ car, mind sensor knows where you want to go after you enter "
22,1,0,[],"never slows down, exit and decelerate, modular train concept, accelerator "
23,1,0,[],underground road system 
24,1,0,[],"Motor, motor "
25,1,0,[],roller blade without wheels 
26,1,0,[],Wheels
27,1,0,[],air-rail 
28,1,0,[],travelator 
29,1,0,[],"personal transportation system, mrt "
30,1,0,[],"house on the move, levitating boots/ shoes to move faster, roads for levitating boots to propel (like maglev for trains), gps enabled, route sensitive, set routes "
31,1,0,[],gyrocycle 
32,1,0,[],flying convertible car 
33,1,0,[],wing
34,1,0,[],traffic condition update on road usage and suggest best  route to work/ travel 
35,1,0,[],stabilizers 
36,1,0,[],helicopter scooter 
37,1,0,[],"help, it stinks, drainage system, glass dome for smell control "
38,1,0,[],underground road system 
39,1,0,[],"balloon, ship, wheel, rudder "
40,1,0,[],bicycle 
41,1,0,[],"Take lift up, MRT/ Bus stop "
42,1,0,[],"boat using reservoir, ensure seamless connection to land transport "
43,1,0,[],"cardless, personal flying device, smart bicycle "
44,1,0,[],"jurong, changi, teleportation "
45,1,0,[],Trust powered
46,1,0,[],gps umbrella to direrct commuter to nearest MRT 
47,1,0,[],GPS unmanned 
48,1,0,[],transport that bring to your dooestep 
49,1,0,[],double decker MRT cabins 
50,1,0,[],"trains fail less, more fault tolerant "
51,1,0,[],"comprtible, jetpack, jetpack tax, nuclear powered "
52,1,0,[],super fast train travels in sea 
53,1,0,[],"Wings, jet, steerer, solar powered energy storage "
54,1,0,[],"add bat-wings style sails, motor, wheel-less, use magnetic plates to create frictionless surfaces "
55,1,0,[],rolling ball vehicle 
56,1,0,[],"portal'ble, joo koon, pasir ris "
57,1,0,[],low flying air transporter 
58,1,0,[],weather proof 
59,1,0,[],"fueled bu natural elements, no need to re-charge with electricity (environmetally friendly), with umbrella to shield from sun & rain "
60,1,0,[],glass 
61,1,0,[],"flying car, with sensor for collision detection and anti-tailgating feature "
62,1,0,[],personalised helicopter 
63,1,0,[],"remote controls, sensors to avoid collision  "
64,1,0,[],"doraemon: on-demand, point to point, across time "
65,1,0,[],Exo-skeleton assisted movement 
66,1,0,[],"the train that does not stop at train stations, existing train tracks, train station "
67,1,0,[],compact 
68,1,0,[],"magnetic levitation, rail tracks "
69,1,0,[],"personal capsule, pipes/tubes "
70,1,0,[],driverless car
71,1,0,[],underwater 
72,1,0,[],"teleport, port a, port b "
73,1,0,[],Hover board
74,1,0,[],"helicap, conceived from idea of helicopter "
75,1,0,[],navigation cum entertainment system 
76,1,0,[],teleporting door 
77,1,0,[],"modular pieces to form car, aeroplanes, truck > to be a car, truck & aeroplane at the same time "
78,1,0,[],"jetpack kiosk, jetpack, wind propelled/ magnetic "
79,1,0,[],aero-bridges (travelators) 
80,1,0,[],personal transporter 
81,1,0,[],work from home if possible for certain types of professional 
82,1,0,[],"all lane, all lane, heli lane, car lane, car lane, car lane, bike lane, train LRT, train MRT - based on peak "
83,1,0,[],sunbathing chair with wheels 
84,1,0,[],"bubble tube transport system, bubble to house people, system transfer based on destination "
85,1,0,[],telecommuting: complete removal of need to take the pblic transport to get to work 
86,1,0,[],no aircon 
87,1,0,[],"collapsible electric scooter, charging system, key in location, the scooter will head to the destination, one button to collapse the scooter, collapse, 20cm by 20cm "
88,1,0,[],can travel on land and fly in the sky 
89,1,0,[],"magnetic shoes, magnetic roads "
90,1,0,[],hovering/ levitating 
91,1,0,[],green energy powered conveyor belt to replace highway 
92,1,0,[],multistories railway
93,1,0,[],tube 
94,1,0,[],unmanned guided vehicle 
95,1,0,[],"personal transport system, collapsible "
96,1,0,[],super high speed transportation pods that do not require stops between any point 
97,1,0,[],"abracadebra, teleport "
98,1,0,[],underground links/ roads for only pedestrians/ personal transport devices 
99,1,0,[],hovercraft 
100,1,0,[],mini buses with self driving bus-lane 
101,1,0,[],Electrical car w/o wheels 
102,1,0,[],smartphone to select destination 
103,1,0,[],"non-deflatable wheel, shock absorbing, rubber guard-prevent accidents, gps, auto "
104,1,0,[], electric pod for dedicated pedestrian walkways 
105,1,0,[],teleportation 
106,1,0,[],"doraemon, voice-control self gps "
107,1,0,[],flying saucer 
108,1,0,[],parachute in case of failure 
109,1,0,[],fly 
110,1,0,[],high speed capsule 270km/hr 
111,1,0,[],hover buggies 
112,1,0,[],"country a (matter to electron), country b (electron to matter) "
113,1,0,[],air 
114,1,0,[],roller skating 
115,1,0,[],"magnetic field chair/ device, massage chair "
116,1,0,[],"personal, hoverboards "
117,1,0,[],Personal Transportation device 
118,1,0,[],"retract blades, retract wheels, run on compressed air "
119,1,0,[],mass conveyor belt 
120,1,0,[],drones delivering people like how stocks deliver babies. Point A to point B with preprogrammed flight plan 
121,1,0,[],skaters track on pavement 
122,1,0,[],hamster ball 
123,1,0,[],sheltered 
124,1,0,[],GPS 
125,1,0,[],"personal transport board, bigger wheels, extend small wheels outwards "
126,1,0,[],"skyline sheltered, roller ball control by brain wave, solar powered "
127,1,0,[],magnetic levitation 
128,1,0,[],tracks 
129,1,0,[],solar panel 
130,1,0,[],"driverless, rotating blade-fly when in jam "
131,1,0,[],"touch screen, navigation screen that will auto navigate based on selected route, glass, couch cum massager "
132,1,0,[],in-built camera with gps 
133,1,0,[],Flying PDA for SOS 
134,1,0,[],motor boat that navigate the canal network/ reservoirs in this island 
135,1,0,[],"sliding, magnetic sole, magnetic floor "
136,1,0,[],mechanical skeleton to move based on brain signals 
137,1,0,[],Teleport 
138,1,0,[],triple decker bus 
139,1,0,[],"underground network of LRT, ground level, central, ave 1 "
140,1,0,[],jetpack 
141,1,0,[],motorised single person car 
142,1,0,[],vertical takeoff 
143,1,0,[],"teleport system: 1. scan the molecular structure 2. send the digitalized information over 3. once transmission completes, build the molecular structure, destroy the body, for far away places use quantum entanglement "
144,1,0,[],motorised shoes 
145,1,0,[],"unmanned taxi that runs all day, less cars(overall), national leve "
146,1,0,[],"personal, portable, efficient & green 'unicycle' "
147,1,0,[],"qigong, propulsion flight using internal energy "
148,1,0,[],rafts boats in canal 
149,1,0,[],heli-car 
150,1,0,[],"sensors, reserved land for autonomous vehicles, normal vehicle lanes// 1. sensors, 2. reopened lanes for autonomous vehicles (taxi, buses), 3. apps to track sensor & vehicles for traffic congestion & shortest route "
151,1,0,[],tunneling > use diglet or dugtrio to travel 
152,1,0,[],personal propellor system 
153,1,0,[],bus horn train horn ground level car
154,1,0,[],"grab-bus, where? DSTA"
155,1,0,[],parasites 
156,1,0,[],hover 
157,1,0,[],"solar, uv clothing "
158,1,0,[],"motor, chair "
159,1,0,[],"fan for power, underwater "
160,1,0,[],cable car 
161,1,0,[],"buses and trains with multilevel, use magnetism to 'hang' & incease surface area "
162,1,0,[],Propeller Hat 
163,1,0,[],missles 
164,1,0,[],quadcopter 
165,1,0,[],"portal gate, key in destination, announcement, destination reached "
166,1,0,[],"lights, install fan, retractable shelter in case of rain, holding area for bag/ ???, bicycle, dedicated lanes "
167,1,0,[],Waterjet to create water flow 
168,1,0,[],"portal code, number pad "
169,1,0,[],"auto w/o the need of driver, chip to find a car when it is stolen, sensor to detect obstacles, wing-can activate the wings via remote control to fly when there is long traffic jam "
170,1,0,[],Fly like iron man 
171,1,0,[],seat 
172,1,0,[],"uniwheel > light, portable, cheap "
173,1,0,[],"an unending travelator, go round and round the island forever "
174,1,0,[],"back to the future, hover board, turbo-powered "
175,1,0,[],"travelators alongside pedestrians, pavement for elderly  & handicapped, shelter "
176,1,0,[],"fly over buildings, longer distance "
177,1,0,[],"anti-collision radar, gps "
178,1,0,[],"multi vertical level transport, floating levitated, floating, foldable transparent sheet, ruduces bulkiness, single person transport "
179,1,0,[],"personal transport device: 3 wheels for stability, can be collapsed into a flat piece for easy storage, cushion seat, basket, battery and motor, 3 wheels, foot rest "
180,1,0,[],solar panel car 
181,1,0,[],"R2D2 operating, my home "
182,1,0,[],"prevent birds landing, propulsion, one-man, helium/ hot-air balloon ( to reduce road congestion), heating coils to heat/cool for ascend/descend, steering controls"
183,1,0,[],"level 1: north south, level 2: north east, level 3: eastwest, level 4: downtown, level 5: circle, level 6: bus interchange, level 7: taxi, level 8: airport, level 9: JB malaysia "
184,1,0,[],"joystick, seat, 1 wheel, 2 wheel "
185,1,0,[],elevated travelator ( conveyor belt ) 
186,1,0,[],"powered paragliders, with solar power for power and GPS, fruit blender, cigar storage "
187,1,0,[],parachute 
188,1,0,[],personal jetpack 
189,1,0,[],"UFO, protect against haze "
190,1,0,[],"DSTA, ice berg, you jump I jump "
191,1,0,[],driverless car 
192,1,0,[],with contol joystick to change direction 
193,1,0,[],platform to move in + up the tunnel 
194,1,0,[],flapper wings 
195,1,0,[],"personal cars - small electric powered combinable cars, special lane "
196,1,0,[],flying car 
197,1,0,[],solar cell 
198,1,0,[],"spring landed deflection plate to re-direct people, handholds for people to choose which exit to set out of, to jurong, to highway, valve prevents people from getting sucked into pump, vacuum pump provides suction "
199,1,0,[],"virtual workplace, move object to human "
200,1,0,[],touch screen control 
201,1,0,[],"integrated illumination for night/ dark conditions, force field for personal space/ privacy, levitation for all terrain travel, ground level, air-cooling, non-slip pad (for hot weather) "
202,1,0,[],automated taxi vehicle 
203,1,0,[],anti collision 
204,1,0,[],belt to tighten (prevent exposure)
