,Unnamed: 0,ID,Solution Set: Distributed Novice,Unnamed: 3,clusters
346,,33333677,Automatic in the Technologies transport for signal,,0
1391,,33334706,personal transportation is one of the best innovation.,,0
931,,33334259,motorcycle/scooter  picture best is  transport most of  the transport  very important,,0
1319,,33334635,Use of earthbags for construction of houses should be a standard practice with standerdised engineering built in the program.,,0
1209,,33334522,The technologies used in moving data among transport involve many different compontents and methodologies,,0
276,,33334776,Air Transport - Fastest mode of transport and provides vital support to the national security and defence,,0
1046,,33334804,Public Busses   in  the tecnology useful,,0
281,,33334816,"Along with easing congestion and improving air quality, the benefits of enhancing public transit",,0
876,,33334207,light rail,,1
1145,,33334465,solar powered mini bus system - florida,,1
1288,,33334598,transportation vehicles,,1
201,,33333536,A ski lift type tram.,,1
60,,33333392,a fleet of pedicabs,,1
511,,33333846,High speed rail train,,1
510,,33333845,High speed rail,,1
34,,33333367,A carpool app. It has profiles of possible matches and helps match up route schedules.,,2
701,,33334721,"I would create a bicycle rental system that was accessible to wheelchair. Pittsburgh created rental bicycles, but they left out disabled adults.",,2
708,,33334039,I would imagine a street car type system that would connect each neighborhood.,,2
361,,33333695,Bicycle Taxi's=Would help older citizens to get to local church or store at the corner or local diner.,,2
1374,,33334690,"We would ride hovercraft to a monorail station. The monorail would take us to work, school, etc.",,2
926,,33334254,more train/subway connections and better bus service. Better communication as to when buses arrive etc,,2
400,,33333734,Close some roads to motorized traffic and allow only bicycles. offering a local tax incentive for bicycling,,2
598,,33333928,"I live in a rural area so horseback travel, hay wagon travel and buckboard travel may well be decent substitutes for cars and buses presently being used.",,2
869,,33334201,Just a more streamlined bus and rail service. I'd make buses easier to track.,,2
384,,33334790,"CAR IS GOOD FOR FAMILY DRIVE.

SCOOTER IS BEST FOR SINGLE ONE

BUS IS SUITABLE FOR LONG TRAVELLING

TRAIN IS BEST FOR LONG TRAVELLING WITH FAMILY

BICYCLES ARE MAINLY USED FOR EXERCISE AND SCHOOL CHILDREN",,2
509,,33334819,"Help public transit bring people to holiday events,fairs, festivals and sporting events in my community. Be sure to  with my local public transit system",,2
916,,33334244,Monorail type cart that takes you to high populated areas/,,2
238,,33333574,A train that connects Orlando and Tampa for easier travel for better job opportunities for both cities,,2
44,,33333375,A company that picks you up in a car of your choice.,,3
954,,33334280,My idea consists of zip-lines connecting the buildings. People would be able to ride zip-lines to wherever they wanted.,,3
69,,33333402,a fun car that always tells jokes to the passengers,,3
821,,33334154,Individual cars on a track that you can program to take you where you want without having to drive.,,3
883,,33334214,"Luxury busses, nicer busses for people who don't want to own a car but want nicer transportation than what you get from a public bus experience",,3
63,,33333396,A flying bike that can come straight to you with a click of a button from your phone or tablet.,,3
942,,33334268,Moving sidewalks would help people get to the train station more smoothly.,,3
394,,33333728,"chairs on rails, slow moving chairs down main streets that you can just hop on and ride to where you want to go",,3
691,,33334023,I want a way to fly by myself to where I want without having to control it,,3
366,,33333701,bike sharing stands would be a welcome addition to my city.  Bikes you can rent at one place and drop off somewhere else.,,3
1294,,33334606,"Tubes. Interconnected web that you can get in at your front door, arrive at your destination all while sitting back and relaxing.",,3
1298,,33334611,"Uber Drone. They can come to you at any location, much like a helicopter, but can also deliver you where you need to go much quicker.",,3
1302,,33334615,Uber limo. Essentially uber but for big groups of people that want to look like ballers.,,3
792,,33334128,If we had taxis in our neighborhood had a rewards card program where you can earn free rides.,,3
459,,33333796,"flying scooters, whenever the rider can not find a place to ride, he can turn it into flying mode",,3
582,,33333912,I imagine a taxi speed boat that could take you downtown in a matter of minutes. It will help skip all the traffic on the street and cut your time in half. Perfect for people who live by bodies of water and are in a rush like NYC.,,4
163,,33333500,"A private luxury shuttle system, sort of like an upscale bus/uber carpool. It will pick you up and bring you to any destination. Payment is based on miles traveled and time of day. It has comfortable seats and free wifi.",,4
